new_phibase_acc	old_phibase_acc	uniprot_acc	gene_name_phibase	gene_locus_id	gene_locus_id_type	pathogen_species_taxon_id	pathogen_taxon_id	pathogen_taxon_name_ncbi	host_species_taxon_id	host_species_name_ncbi	phi_disease_phenotype_id	phi_disease_phenotype_name	experiment_specification_ids	experiment_specification_names	pubmed_id	doi
PHI:I1	PHI:3	P26215	PGN1	AAA79885	EMBL	5017	5017	Bipolaris zeicola	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	2152162	
PHI:I2	PHI:7	P22287	AVR9	CAA42824	EMBL	5499	5499	Passalora fulva	4081	Solanum lycopersicum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000002;ESO:0000005;ESO:0000007	gene deletion;biochemical analysis;gene complementation	1799694	
PHI:I3	PHI:12	Q01886	HTS1	AAA33023	EMBL	5017	5017	Bipolaris zeicola	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	11607305	
PHI:I4	PHI:14	P0C017	ADE2	AAB09711	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12438649	10.1073/pnas.232568599
PHI:I5	PHI:14	P0C017	ADE2	AAB09711	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	9986	Oryctolagus cuniculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12438649	10.1073/pnas.232568599
PHI:I6	PHI:15	P52751	MPG1	AAA20128	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	8312740	10.1105/tpc.5.11.1575
PHI:I7	PHI:17	Q00663	ACP	CAA43678	EMBL	5482	5482	Candida tropicalis	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	7983570	
PHI:I8	PHI:18	Q00363	AVR4	CAA69643	EMBL	5499	5499	Passalora fulva	4081	Solanum lycopersicum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000005;ESO:0000007;ESO:0000016	biochemical analysis;gene complementation;characterised gene mutation	8114941	
PHI:I9	PHI:19	P34809	NMT	AAA17547	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	9986	Oryctolagus cuniculus	PHIPO:0000008	reduced virulence	ESO:0000016	characterised gene mutation	7991574	
PHI:I10	PHI:22	P49606	UAC1	AAA57469	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	7995519	
